mass_B
t	x	y
14.662	20.187	3.272
14.695	20.184	3.507
14.728	20.155	3.749
14.762	20.156	3.977
14.795	19.845	4.087
14.828	20.144	4.230
14.862	20.123	4.477
14.895	20.174	4.463
14.928	20.361	4.429
14.962	20.166	4.237
14.995	20.095	3.749
15.028	20.100	3.495
15.062	20.381	3.251
15.095	20.731	2.928
15.128	20.622	2.662
15.162	20.758	2.297
15.195	20.932	1.970
15.228	21.015	1.677
15.262	21.228	1.389
15.295	21.315	1.129
15.328	21.429	0.785
15.362	21.603	0.560
15.395	21.744	0.425
15.428	21.856	0.370
15.462	22.001	0.376
15.495	22.103	0.395
15.528	22.271	0.441
15.561	22.622	1.784
15.595	23.070	0.409
15.628	23.251	0.677
15.661	23.465	1.051
15.695	23.210	1.516
15.728	23.448	1.929
15.761	23.713	2.303
15.795	23.848	2.663
15.828	24.004	3.007
15.861	24.146	3.300
15.895	24.279	3.576
15.928	24.455	3.923
15.961	24.740	4.271
15.995	24.979	4.509
16.028	25.209	4.733
16.061	25.486	4.536
16.095	25.522	4.715
16.128	25.746	4.800
16.161	25.981	4.670
16.195	26.397	4.650
16.228	26.528	4.415
16.261	26.989	4.288
16.295	27.194	4.013
16.328	27.481	3.759
16.361	27.802	3.435
16.395	28.206	3.099
16.428	28.477	2.766
16.461	28.741	2.385
16.494	29.229	2.172
16.528	29.502	1.793
16.561	29.888	1.493
16.594	30.243	1.352
16.628	30.628	1.140
16.661	30.974	0.999
16.694	31.448	0.818
16.728	31.721	0.732
16.761	32.137	0.699
16.794	32.499	0.699
16.828	32.927	0.717
16.861	33.275	0.781
16.894	33.689	1.246
